/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Ю4-6_РД_ЭН_План наружного освещения.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
36461	опора_промежуточная 0.4	*U54	ЭО_Пл_Опора	(1.0345e+008 1.04986e+008 0.0)	0	1:500	625.0	3.14159	1045.11	-1680.61	1500.0	0.100158	N2_15				опора		
36447	опора_промежуточная 0.4	*U488	ЭО_Пл_Опора	(1.03416e+008 1.04961e+008 0.0)	0	1:500	625.0	3.14159	922.357	-667.618	1500.0	0.100158	N2_04				опора		
33EF2	опора_промежуточная 0.4	*U42	ЭО_Пл_Опора	(1.03293e+008 1.04974e+008 0.0)	0	1:500	625.0	3.14159	1210.46	1279.51	1500.0	0.100158	N1_12				опора		
33ED8	опора_промежуточная 0.4	*U43	ЭО_Пл_Опора	(1.03293e+008 1.04958e+008 0.0)	0	1:500	625.0	3.14159	663.773	1251.54	1500.0	0.100158	N1_11				опора		
33EBE	опора_промежуточная 0.4	*U125	ЭО_Пл_Опора	(1.03261e+008 1.04942e+008 0.0)	0	1:500	625.0	3.14159	520.858	561.522	1500.0	0.100158	N1_10				опора		
33EA4	опора_промежуточная 0.4	*U45	ЭО_Пл_Опора	(1.03261e+008 1.0499e+008 0.0)	0	1:500	625.0	3.14159	1028.29	218.34	1500.0	0.100158	N1_09				опора		
33E8A	опора_промежуточная 0.4	*U48	ЭО_Пл_Опора	(1.03261e+008 1.04974e+008 0.0)	0	1:500	625.0	3.14159	923.181	238.564	1500.0	0.100158	N1_08				опора		
33E70	опора_промежуточная 0.4	*U47	ЭО_Пл_Опора	(1.03261e+008 1.04958e+008 0.0)	0	1:500	625.0	3.14159	1368.34	454.174	1500.0	0.100158	N1_07				опора		
33E56	опора_промежуточная 0.4	*U46	ЭО_Пл_Опора	(1.03238e+008 1.04974e+008 0.0)	0	1:500	625.0	3.14159	-6735.59	-1717.83	1500.0	0.100158	N1_06				опора		
33E3C	опора_промежуточная 0.4	*U52	ЭО_Пл_Опора	(1.03238e+008 1.04922e+008 0.0)	0	1:500	625.0	3.14159	2043.31	-225.662	1500.0	0.100158	N1_03				опора		
33E22	опора_промежуточная 0.4	*U50	ЭО_Пл_Опора	(1.03238e+008 1.04958e+008 0.0)	0	1:500	625.0	3.14159	-6793.33	-1211.7	1500.0	0.100158	N1_05				опора		
33E08	опора_промежуточная 0.4	*U49	ЭО_Пл_Опора	(1.03238e+008 1.04942e+008 0.0)	0	1:500	625.0	3.14159	-7514.29	-1465.87	1500.0	0.100158	N1_04				опора		
33DEE	опора_промежуточная 0.4	*U51	ЭО_Пл_Опора	(1.03253e+008 1.04904e+008 0.0)	0	1:500	625.0	3.14159	1951.83	-1157.17	1500.0	0.100158	N1_02				опора		
33DD4	опора_промежуточная 0.4	*U53	ЭО_Пл_Опора	(1.03319e+008 1.04944e+008 0.0)	0	1:500	625.0	3.14159	-418.662	1928.48	1500.0	0.100158	N1_19				опора		
33C81	опора_промежуточная 0.4	*U36	ЭО_Пл_Опора	(1.03353e+008 1.04897e+008 0.0)	0	1:500	625.0	3.14159	1187.94	-1524.51	1500.0	0.100158	N1_22				опора		
33C67	опора_промежуточная 0.4	*U38	ЭО_Пл_Опора	(1.03333e+008 1.04925e+008 0.0)	0	1:500	625.0	3.14159	1110.45	-1802.38	1500.0	0.100158	N1_18				опора		
33C4D	опора_промежуточная 0.4	*U37	ЭО_Пл_Опора	(1.03305e+008 1.04905e+008 0.0)	0	1:500	625.0	3.14159	2162.14	-533.529	1500.0	0.100158	N1_17				опора		
33C33	опора_промежуточная 0.4	*U92	ЭО_Пл_Опора	(1.03325e+008 1.04877e+008 0.0)	0	1:500	625.0	3.14159	2245.82	-633.907	1500.0	0.100158	N1_21				опора		
33C19	опора_промежуточная 0.4	*U91	ЭО_Пл_Опора	(1.03308e+008 1.04864e+008 0.0)	0	1:500	625.0	3.14159	1889.5	-469.641	1500.0	0.100158	N1_20				опора		
33BFF	опора_промежуточная 0.4	*U39	ЭО_Пл_Опора	(1.03288e+008 1.04892e+008 0.0)	0	1:500	625.0	3.14159	2223.64	-888.282	1500.0	0.100158	N1_16				опора		
33BE5	опора_промежуточная 0.4	*U40	ЭО_Пл_Опора	(1.03263e+008 1.04884e+008 0.0)	0	1:500	625.0	3.14159	-7802.31	-470.332	1500.0	0.100158	N1_01				опора		
33AE7	опора_промежуточная 0.4	*U35	ЭО_Пл_Опора	(1.03384e+008 1.04811e+008 0.0)	0	1:500	625.0	3.14159	1513.28	-679.069	1500.0	0.100158	N1_55				опора		
33ACD	опора_промежуточная 0.4	*U34	ЭО_Пл_Опора	(1.03364e+008 1.04796e+008 0.0)	0	1:500	625.0	3.14159	1078.57	-940.806	1500.0	0.100158	N1_54				опора		
33A77	опора_промежуточная 0.4	*U33	ЭО_Пл_Опора	(1.03344e+008 1.04788e+008 0.0)	0	1:500	625.0	3.14159	2768.19	-2473.64	1500.0	0.100158	N1_27				опора		
339A9	опора_промежуточная 0.4	*U27	ЭО_Пл_Опора	(1.03423e+008 1.04766e+008 0.0)	0	1:500	625.0	3.14159	1963.65	1095.2	1500.0	0.100158	N1_40				опора		
338FD	опора_промежуточная 0.4	*U27	ЭО_Пл_Опора	(1.03382e+008 1.04744e+008 0.0)	0	1:500	625.0	3.14159	1963.65	1095.2	1500.0	0.100158	N1_29				опора		
338E3	опора_промежуточная 0.4	*U88	ЭО_Пл_Опора	(1.034e+008 1.04723e+008 0.0)	0	1:500	625.0	3.14159	981.448	-908.254	1500.0	0.100158	N1_30				опора		
338C9	опора_промежуточная 0.4	*U32	ЭО_Пл_Опора	(1.03417e+008 1.04702e+008 0.0)	0	1:500	625.0	3.14159	2353.67	-335.119	1500.0	0.100158	N1_39				опора		
338AF	опора_промежуточная 0.4	*U31	ЭО_Пл_Опора	(1.03434e+008 1.04714e+008 0.0)	0	1:500	625.0	3.14159	2215.37	-1078.22	1500.0	0.100158	N1_38				опора		
33895	опора_промежуточная 0.4	*U30	ЭО_Пл_Опора	(1.03451e+008 1.04726e+008 0.0)	0	1:500	625.0	3.14159	2257.07	-806.213	1500.0	0.100158	N1_37				опора		
3387B	опора_промежуточная 0.4	*U249	ЭО_Пл_Опора	(1.03468e+008 1.04739e+008 0.0)	0	1:500	625.0	3.14159	2265.9	-771.222	1500.0	0.100158	N1_36				опора		
33861	опора_промежуточная 0.4	*U246	ЭО_Пл_Опора	(1.03458e+008 1.04753e+008 0.0)	0	1:500	625.0	3.14159	2393.63	2040.97	1500.0	0.100158	N1_35				опора		
33847	опора_промежуточная 0.4	*U231	ЭО_Пл_Опора	(1.03447e+008 1.04768e+008 0.0)	0	1:500	625.0	3.14159	2050.35	-118.377	1500.0	0.100158	N1_34				опора		
3382D	опора_промежуточная 0.4	*U433	ЭО_Пл_Опора	(1.0342e+008 1.04747e+008 0.0)	0	1:500	625.0	3.14159	1980.76	-408.888	1500.0	0.100158	N1_32				опора		
